MODULE	introduce	students	the	key	issues	when	designing	and	world	web	design	comp	code	immediate	prerequisites	knowledge	technical	principles	functions	structure	user	for	using	graphics	online	computer	science	software	basic	data	structures	algorithms	which	modern	engineering	these	course	also	algorithmics	required	common	time	complexity	how	object	oriented	methods	skills	appropriate	particular	problem	understand	important	evaluate	strategy	solve	subject	have	programs	java	simple	use	build	complex	transferable	problems	introduction	aims	programming	approach	them	with	study	used	language	including	range	analyse	model	generic	practical	process	machine	computational	thinking	development	testing	what	applications	from	solution	give	fundamentals	main	their	some	digital	covered	experience	based	systems	describe	components	between	modules	features	level	architecture	evolution	advanced	operating	explain	role	database	information	management	tools	techniques	develop	system	line	working	its	modelling	application	support	apply	relationship	make	new	languages	create	environment	processes	other	scripting	aim	fundamental	professional	they	are	provide	opportunity	individual	learning	that	computing	domains	concepts	more	topics	within	topic	areas	identify	critically	business	different	aspects	communicate	work	approaches	project	planning	practice	open	organisations	explore	context	about	technologies	research	communication	set	real	together	network	but	view	developing	large	current	variety	requirements	standards	strategies	technology	platforms	theoretical	examples	future	such	mathematical	foundations	formal	present	not	solving	theory	sets	analysis	case	coursework	models	patterns	select	implementing	solutions	state	teams	high	your	groups	leaders	social	interaction	group	part	implementation	databases	security	verification	implement	accessible	networks	distributed	cloud	commercial	networking	both	etc	general	non	all	underlying	broad	field	artificial	intelligence	intelligent	processing	iii	there	critical	has	human	gives	embedded	challenges	can	cyber	society	biometrics	serious	games	game	vision	many	biology	generation	msc	secure	introduces	dtc	simulation	agents	automated	semantic	finance	innovation	usable	qualitative	assessing	visualisation	mining
COMP6200: MSc Project	0	0	8	0	1	0	0	18	0	0	2	1	1	0	0	6	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5	1	0	0	0	2	1	0	1	1	0	1	0	0	0	3	2	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	2	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	7	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP6201: E-Business Strategy	0	1	8	0	0	0	0	27	0	0	0	1	1	0	0	2	0	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	1	1	2	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	5	2	1	0	0	0	0	1	1	1	0	0	1	0	0	6	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP6202: Evolution of Complexity	0	2	10	1	0	0	0	23	0	0	0	1	1	0	0	3	0	0	0	0	0	4	1	0	0	2	2	0	3	0	0	3	0	0	2	1	0	0	0	0	0	0	1	4	0	0	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	1	1	0	0	0	12	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	4	1	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
COMP6203: Intelligent Agents	0	1	6	2	0	0	0	15	0	0	2	1	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0	1	1	0	4	0	2	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0
COMP6204: Software Project Management and Development	0	4	8	0	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	11	0	0	0	0	0	3	1	0	0	1	0	1	0	0	0	0	1	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
COMP6205: Web Development	0	2	6	0	3	0	2	31	0	19	0	1	1	0	0	2	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	2	4	0	1	0	0	0	1	0	0	0	2	0	0	3	0	1	0	0	1	0	0	1	1	0	0	4	0	0	0	0	1	0	2	1	1	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	3	0	0	0	0	0	0	1	0	3	1	2	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP6206: Advanced Computer Vision	0	3	5	0	0	0	0	18	0	0	0	1	1	0	0	0	0	1	0	0	0	3	0	0	0	6	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP6207: Advanced Intelligent Agents	2	2	22	1	2	0	1	34	0	0	4	2	1	0	0	3	0	1	1	0	0	4	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	5	0	0	0	1	0	2	0	0	2	0	1	4	0	0	0	0	1	1	3	1	0	3	3	0	0	0	0	0	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	2	0	3	0	0	1	0	3	0	2	0	1	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	3	2	1	1	7	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
COMP6208: Advanced Machine Learning	1	0	9	4	1	0	0	16	2	0	0	1	1	0	0	4	0	0	2	2	0	8	2	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	3	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	1	0	0	5	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	4	1	5	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
COMP6209: Automated Code Generation	0	1	4	0	1	0	0	5	0	0	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	1	1	1	0	0	0	2	0	1	2	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0
COMP6210: Automated Software Verification	1	0	10	0	0	0	0	5	0	0	0	1	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	8	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
COMP6211: Biometrics	0	0	15	0	0	0	0	25	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	8	1	0	0	1	0	0	2	0	0	0	7	1	0	0	0	0	0	5	1	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	2	5	0	0	0	0	1	2	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	3	0	0	0	1	3	0	1	14	0	0	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
COMP6212: Computational Finance	0	2	13	0	0	1	0	10	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	1	0	0	1	0	1	0	0	5	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0
COMP6214: Open Data Innovation	0	1	5	0	0	0	0	14	0	1	1	1	1	0	0	0	4	0	0	0	0	2	2	0	0	0	0	0	0	10	0	0	0	0	0	2	3	0	0	2	0	0	0	3	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0
COMP6215: Semantic Web Technologies	0	0	19	0	0	0	0	16	1	19	3	1	1	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	3	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
COMP6216: Simulation Modelling for Computer Science	0	2	15	0	0	0	0	13	0	0	2	1	1	0	0	1	0	0	0	0	0	2	1	0	1	5	7	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	7	0	0	1	0	6	0	5	0	2	0	0	0	0	0	1	1	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	3	0	1	2	0	2	1	1	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
COMP6217: The Science of Online Social Networks	0	0	16	1	0	0	0	23	0	3	2	1	1	0	0	2	0	0	0	0	0	5	0	0	5	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	2	1	0	3	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	1	1	0	0	2	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	7	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	10	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COMP6218: Web Architecture	0	0	22	1	1	1	0	8	2	15	3	1	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP6219: Designing Usable and Accessible Technologies	0	1	3	0	1	0	1	16	0	0	8	1	1	0	0	2	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
COMP6220: Qualitative Research Methods for Assessing Technology	0	1	4	0	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
COMP6221: Computational Thinking	0	2	17	2	1	0	0	10	0	0	2	1	1	0	0	0	1	1	0	0	0	1	2	2	1	13	13	3	0	2	0	3	1	0	2	3	7	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	0	0	0	0	1	0	1	7	0	1	5	0	0	0	0	2	0	0	0	0	0	2	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	3	0	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	2	3	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	2	2	0	0	0	2	3	0	0	2	2	4	0	1	1	4	0	0	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	2	0	0	0	0	0	1	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
COMP6223: Computer Vision (MSc)	0	2	14	1	1	0	0	27	1	0	2	2	1	0	0	2	0	2	0	0	0	2	0	1	0	14	0	1	5	1	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	2	1	1	1	0	2	0	1	0	0	1	0	0	0	2	0	0	1	0	0	1	2	0	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	1	1	1	0	0	0	0	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP6224: Foundations of Cyber Security	0	1	19	1	3	0	0	16	0	1	0	1	1	0	0	2	1	2	0	0	0	0	0	0	1	2	2	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	16	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	16	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
